season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4036032,Brittain Brown,RB,UCLA,Pac-12,119,0.334,0.669,0.274,0.319,0.166,0.806,0.275,0.554,39.71,12.04,27.67,19.136,7.958,7.255,25.851,13.86
2021,4040824,Dominic Johnson,WR,Buffalo,Mid-American,40,0.334,0.334,,0.063,-0.231,1.133,0.289,0.39,13.372,13.372,,0.882,-2.771,12.463,6.358,7.014
2021,4242431,Ty Chandler,RB,North Carolina,ACC,197,0.334,1.106,0.261,0.172,0.362,0.813,0.214,0.908,65.748,18.798,46.95,18.39,22.812,20.332,34.882,30.866
2021,4379399,James Cook,RB,Georgia,SEC,142,0.334,0.757,0.225,0.326,0.177,1.218,0.329,0.356,47.381,21.946,25.435,24.802,8.309,20.71,38.835,8.546
2021,4361354,Master Teague,RB,Ohio State,Big Ten,68,0.334,0.541,0.328,0.004,0.276,1.159,0.327,0.367,22.705,1.082,21.624,0.132,6.351,16.222,18.667,4.038
2021,4239821,Lucious Stanley,RB,UAB,Conference USA,36,0.336,0.63,0.277,0.353,0.337,0.054,0.291,0.612,12.085,3.778,8.308,5.649,4.725,0.27,9.024,3.062
2021,4373626,Tyler Allgeier,RB,BYU,FBS Independents,284,0.336,0.219,0.35,0.192,0.232,0.654,0.375,0.21,95.37,6.784,88.585,22.089,25.772,30.756,81.268,14.102
2021,4361653,Devin Leary,QB,NC State,ACC,476,0.336,0.352,0.062,0.203,0.275,0.554,0.265,0.431,159.767,158.107,1.661,36.38,41.25,79.8,72.657,87.11
2021,4250764,Stone Smartt,QB,Old Dominion,Sun Belt,13,0.336,0.421,-0.684,0.03,0.854,-0.039,0.03,0.599,4.371,5.055,-0.684,0.18,4.269,-0.078,0.18,4.191
2021,4428753,Lincoln Victor,WR,Washington State,Pac-12,17,0.336,0.621,-0.591,-0.17,1.091,1.414,-0.312,1.525,5.71,8.073,-2.363,-1.362,5.456,4.241,-3.437,9.147
2021,4361825,Spencer Sanders,QB,Oklahoma State,Big 12,500,0.337,0.341,0.325,0.197,0.301,0.624,0.26,0.464,168.419,129.774,38.645,40.621,48.516,80.435,81.244,87.175
2021,4688835,Roman Hemby,RB,Maryland,Big Ten,9,0.337,-0.786,0.477,0.141,0.03,2.454,0.477,-0.786,3.029,-0.786,3.815,0.424,0.151,2.454,3.815,-0.786
2021,4030947,Drew Estrada,WR,Baylor,Big 12,46,0.337,0.448,-0.571,0.231,0.191,0.546,0.251,0.516,15.521,18.378,-2.856,4.614,3.254,4.367,7.778,7.743
2021,4683665,Zuberi Mobley,RB,Florida Atlantic,Conference USA,5,0.338,0.182,0.572,-0.212,-0.992,0.786,0.671,-0.992,1.691,0.547,1.144,-0.424,-0.992,0.786,2.683,-0.992
